Country,per_capita_gdp_ppp,per_capita_gdp_nominal
Qatar,128647.00,61264.00
Macao,115367.00,80890.00
Luxembourg,107641.00,105280.00
Singapore,94105.00,56746.00
Brunei,79003.00,28572.00
Ireland,76745.00,69727.00
United Arab Emirates,74035.00,40325.00
Kuwait,72096.00,29616.00
Switzerland,66307.00,80296.00
San Marino,63549.00,48495.00
Norway,62183.00,75428.00
Hong Kong,61671.00,46733.00
United States,59928.00,59939.00
Iceland,55322.00,73233.00
Netherlands,54422.00,48796.00
Denmark,54356.00,57545.00
Saudi Arabia,53893.00,20747.00
Austria,53879.00,47261.00
Germany,52556.00,44680.00
Sweden,51405.00,54075.00
Australia,49378.00,53831.00
Belgium,49367.00,43325.00
Bahrain,47708.00,23715.00
Canada,46510.00,44841.00
Finland,46344.00,45778.00
United Kingdom,44920.00,39532.00
France,44033.00,39827.00
Japan,42067.00,38214.00
Oman,41331.00,15170.00
Italy,40924.00,32038.00
Malta,40797.00,28585.00
New Zealand,40748.00,43415.00
Aruba,39493.00,25630.00
Spain,39037.00,28175.00
Israel,38868.00,42852.00
South Korea,38824.00,29958.00
Czech Republic (Czechia),38020.00,20291.00
Slovenia,36387.00,23488.00
Cyprus,36012.00,18695.00
Estonia,33448.00,20170.00
Lithuania,33253.00,16709.00
Portugal,32554.00,21316.00
Slovakia,32371.00,17551.00
Trinidad and Tobago,31645.00,15952.00
Bahamas,30495.00,31858.00
Poland,29924.00,13871.00
Malaysia,29511.00,10118.00
Seychelles,29328.00,15536.00
Hungary,28799.00,14364.00
Saint Kitts & Nevis,28636.00,19061.00
Greece,28583.00,19214.00
Latvia,28362.00,15613.00
Turkey,28002.00,10498.00
Romania,26660.00,10781.00
Kazakhstan,26491.00,9009.00
Croatia,26296.00,13200.00
Russia,25763.00,10846.00
Chile,24747.00,15001.00
Panama,24521.00,15166.00
Equatorial Guinea,24439.00,9741.00
Antigua and Barbuda,23522.00,15825.00
Uruguay,22610.00,16341.00
Mauritius,22356.00,10491.00
Bulgaria,20948.00,8197.00
Iran,20885.00,5628.00
Argentina,20829.00,14508.00
Libya,19673.00,5791.00
Montenegro,19355.00,7720.00
Belarus,18896.00,5762.00
Mexico,18656.00,9224.00
Barbados,18559.00,16328.00
Gabon,18113.00,7271.00
Turkmenistan,18031.00,6587.00
Thailand,17910.00,6579.00
Azerbaijan,17450.00,4139.00
Costa Rica,17110.00,11573.00
Botswana,17024.00,7894.00
Iraq,16935.00,5114.00
China,16842.00,8612.00
Maldives,16688.00,9802.00
Dominican Republic,16064.00,7223.00
Brazil,15553.00,9881.00
Serbia,15432.00,4692.00
Algeria,15293.00,4048.00
North Macedonia,15290.00,5418.00
Suriname,15191.00,5251.00
Grenada,15156.00,10164.00
Palau,14854.00,16275.00
Lebanon,14513.00,7857.00
Colombia,14503.00,6429.00
Saint Lucia,13986.00,9602.00
South Africa,13526.00,6120.00
Peru,13463.00,6723.00
Paraguay,13109.00,5776.00
Bosnia and Herzegovina,13108.00,5387.00
Mongolia,12946.00,3672.00
Albania,12943.00,4521.00
Sri Lanka,12863.00,4135.00
Indonesia,12310.00,3837.00
Tunisia,11936.00,3494.00
St. Vincent & Grenadines,11769.00,7150.00
Ecuador,11612.00,6214.00
Egypt,11608.00,2441.00
Georgia,10674.00,3762.00
Namibia,10471.00,5516.00
Dominica,10037.00,6951.00
Armenia,9668.00,3918.00
Fiji,9575.00,5768.00
Bhutan,9392.00,3391.00
Jordan,9173.00,4095.00
Jamaica,9066.00,5061.00
Ukraine,8699.00,2521.00
Eswatini,8659.00,3942.00
Belize,8525.00,4957.00
Philippines,8361.00,2982.00
Morocco,8225.00,3083.00
Guyana,8180.00,4671.00
Guatemala,8168.00,4471.00
El Salvador,8023.00,3883.00
Bolivia,7576.00,3351.00
Timor-Leste,7228.00,2377.00
India,7166.00,1980.00
Laos,7038.00,2424.00
Cabo Verde,6913.00,3298.00
Uzbekistan,6880.00,1554.00
Vietnam,6790.00,2366.00
Angola,6658.00,4096.00
Samoa,6641.00,4305.00
Myanmar,6174.00,1256.00
Tonga,5969.00,4193.00
Nigeria,5887.00,1969.00
Nicaragua,5855.00,2164.00
Moldova,5711.00,2002.00
Pakistan,5539.00,1467.00
Congo,5454.00,1703.00
Honduras,4997.00,2437.00
Sudan,4914.00,2879.00
State of Palestine,4896.00,3054.00
Ghana,4502.00,2026.00
Marshall Islands,4247.00,3517.00
Papua New Guinea,4208.00,2434.00
Zambia,4033.00,1535.00
Cambodia,4018.00,1384.00
Mauritania,3958.00,1173.00
Côte d'Ivoire,3945.00,1529.00
Tuvalu,3933.00,3494.00
Bangladesh,3877.00,1564.00
Kyrgyzstan,3735.00,1222.00
Cameroon,3722.00,1422.00
Micronesia,3701.00,631.00
Senegal,3458.00,1366.00
Sao Tome & Principe,3359.00,1896.00
Kenya,3292.00,1578.00
Vanuatu,3215.00,3022.00
Tajikistan,3202.00,805.00
Tanzania,2948.00,975.00
Lesotho,2932.00,1233.00
Comoros,2751.00,1312.00
Nepal,2702.00,900.00
Yemen,2606.00,1123.00
Zimbabwe,2434.00,1548.00
Solomon Islands,2427.00,2049.00
Benin,2276.00,827.00
Guinea,2247.00,868.00
Mali,2218.00,828.00
Kiribati,2185.00,1626.00
Rwanda,2043.00,762.00
Afghanistan,1976.00,538.00
Chad,1945.00,657.00
Ethiopia,1903.00,757.00
Uganda,1868.00,631.00
Burkina Faso,1866.00,642.00
Haiti,1819.00,766.00
Guinea-Bissau,1704.00,737.00
Gambia,1699.00,673.00
Togo,1663.00,618.00
Madagascar,1558.00,450.00
Sierra Leone,1530.00,504.00
Liberia,1285.00,699.00
Mozambique,1250.00,441.00
Malawi,1205.00,357.00
Niger,1019.00,376.00
DR Congo,889.00,462.00
Burundi,735.00,293.00
Central African Republic,727.00,424.00
